filename,result,frame,conf
crop_0000_f00001_c0.64.jpg,FP,00001,0.64
crop_0001_f00001_c0.58.jpg,TP,00001,0.58
crop_0002_f00001_c0.40.jpg,FP,00001,0.40
crop_0003_f00002_c0.66.jpg,FP,00002,0.66
crop_0004_f00002_c0.45.jpg,TP,00002,0.45
crop_0005_f00003_c0.68.jpg,FP,00003,0.68
crop_0006_f00004_c0.69.jpg,FP,00004,0.69
crop_0007_f00004_c0.58.jpg,TP,00004,0.58
crop_0008_f00005_c0.65.jpg,FP,00005,0.65
crop_0009_f00005_c0.54.jpg,TP,00005,0.54
crop_0010_f00006_c0.65.jpg,FP,00006,0.65
crop_0011_f00006_c0.64.jpg,TP,00006,0.64
crop_0012_f00007_c0.70.jpg,FP,00007,0.70
crop_0013_f00007_c0.39.jpg,TP,00007,0.39
crop_0014_f00008_c0.70.jpg,FP,00008,0.70
crop_0015_f00008_c0.55.jpg,TP,00008,0.55
crop_0016_f00009_c0.65.jpg,FP,00009,0.65
crop_0017_f00009_c0.61.jpg,TP,00009,0.61
crop_0018_f00010_c0.50.jpg,FP,00010,0.50
crop_0019_f00011_c0.48.jpg,FP,00011,0.48
crop_0020_f00012_c0.37.jpg,FP,00012,0.37
crop_0021_f00013_c0.50.jpg,FP,00013,0.50
crop_0022_f00014_c0.45.jpg,FP,00014,0.45
crop_0023_f00015_c0.48.jpg,FP,00015,0.48
crop_0024_f00015_c0.35.jpg,FP,00015,0.35
crop_0025_f00016_c0.56.jpg,FP,00016,0.56
crop_0026_f00017_c0.60.jpg,FP,00017,0.60
crop_0027_f00017_c0.53.jpg,FP,00017,0.53
crop_0028_f00019_c0.52.jpg,FP,00019,0.52
crop_0029_f00019_c0.43.jpg,FP,00019,0.43
crop_0030_f00020_c0.61.jpg,FP,00020,0.61
crop_0031_f00020_c0.53.jpg,FP,00020,0.53
crop_0032_f00021_c0.57.jpg,FP,00021,0.57
crop_0033_f00021_c0.46.jpg,FP,00021,0.46
crop_0034_f00021_c0.41.jpg,FP,00021,0.41
crop_0035_f00022_c0.66.jpg,FP,00022,0.66
crop_0036_f00022_c0.49.jpg,FP,00022,0.49
crop_0037_f00022_c0.38.jpg,FP,00022,0.38
crop_0038_f00022_c0.37.jpg,FP,00022,0.37
crop_0039_f00023_c0.60.jpg,FP,00023,0.60
crop_0040_f00023_c0.36.jpg,FP,00023,0.36
crop_0041_f00024_c0.57.jpg,FP,00024,0.57
crop_0042_f00024_c0.52.jpg,FP,00024,0.52
crop_0043_f00024_c0.47.jpg,FP,00024,0.47
crop_0044_f00025_c0.58.jpg,FP,00025,0.58
crop_0045_f00025_c0.48.jpg,FP,00025,0.48
crop_0046_f00025_c0.41.jpg,FP,00025,0.41
crop_0047_f00026_c0.47.jpg,FP,00026,0.47
crop_0048_f00026_c0.43.jpg,FP,00026,0.43
crop_0049_f00026_c0.38.jpg,FP,00026,0.38
crop_0050_f00027_c0.54.jpg,FP,00027,0.54
crop_0051_f00027_c0.37.jpg,FP,00027,0.37
crop_0052_f00028_c0.55.jpg,FP,00028,0.55
crop_0053_f00028_c0.52.jpg,FP,00028,0.52
crop_0054_f00028_c0.44.jpg,FP,00028,0.44
crop_0055_f00028_c0.36.jpg,FP,00028,0.36
crop_0056_f00029_c0.59.jpg,FP,00029,0.59
crop_0057_f00029_c0.54.jpg,FP,00029,0.54
crop_0058_f00030_c0.49.jpg,FP,00030,0.49
crop_0059_f00030_c0.38.jpg,FP,00030,0.38
crop_0060_f00031_c0.62.jpg,FP,00031,0.62
crop_0061_f00031_c0.44.jpg,FP,00031,0.44
crop_0062_f00032_c0.66.jpg,FP,00032,0.66
crop_0063_f00033_c0.66.jpg,FP,00033,0.66
crop_0064_f00033_c0.51.jpg,FP,00033,0.51
crop_0065_f00033_c0.36.jpg,FP,00033,0.36
crop_0066_f00034_c0.64.jpg,FP,00034,0.64
crop_0067_f00034_c0.60.jpg,FP,00034,0.60
crop_0068_f00035_c0.61.jpg,FP,00035,0.61
crop_0069_f00035_c0.49.jpg,FP,00035,0.49
crop_0070_f00036_c0.52.jpg,FP,00036,0.52
crop_0071_f00036_c0.44.jpg,FP,00036,0.44
crop_0072_f00037_c0.56.jpg,FP,00037,0.56
crop_0073_f00037_c0.42.jpg,FP,00037,0.42
crop_0074_f00037_c0.39.jpg,FP,00037,0.39
crop_0075_f00038_c0.45.jpg,FP,00038,0.45
crop_0076_f00039_c0.62.jpg,FP,00039,0.62
crop_0077_f00039_c0.51.jpg,FP,00039,0.51
crop_0078_f00040_c0.64.jpg,FP,00040,0.64
crop_0079_f00040_c0.44.jpg,FP,00040,0.44
crop_0080_f00041_c0.59.jpg,FP,00041,0.59
crop_0081_f00041_c0.39.jpg,FP,00041,0.39
crop_0082_f00042_c0.58.jpg,FP,00042,0.58
crop_0083_f00042_c0.46.jpg,FP,00042,0.46
crop_0084_f00043_c0.61.jpg,FP,00043,0.61
crop_0085_f00043_c0.47.jpg,FP,00043,0.47
crop_0086_f00043_c0.42.jpg,FP,00043,0.42
crop_0087_f00044_c0.57.jpg,FP,00044,0.57
crop_0088_f00044_c0.55.jpg,FP,00044,0.55
crop_0089_f00045_c0.58.jpg,FP,00045,0.58
crop_0090_f00045_c0.53.jpg,FP,00045,0.53
crop_0091_f00045_c0.44.jpg,FP,00045,0.44
crop_0092_f00046_c0.54.jpg,FP,00046,0.54
crop_0093_f00046_c0.46.jpg,FP,00046,0.46
crop_0094_f00047_c0.60.jpg,FP,00047,0.60
crop_0095_f00047_c0.52.jpg,FP,00047,0.52
crop_0096_f00047_c0.44.jpg,FP,00047,0.44
crop_0097_f00048_c0.64.jpg,FP,00048,0.64
crop_0098_f00048_c0.54.jpg,FP,00048,0.54
crop_0099_f00048_c0.40.jpg,FP,00048,0.40
crop_0100_f00049_c0.59.jpg,FP,00049,0.59
crop_0101_f00049_c0.53.jpg,FP,00049,0.53
crop_0102_f00049_c0.49.jpg,FP,00049,0.49
crop_0103_f00050_c0.54.jpg,FP,00050,0.54
crop_0104_f00050_c0.49.jpg,FP,00050,0.49
crop_0105_f00050_c0.40.jpg,FP,00050,0.40
crop_0106_f00051_c0.58.jpg,FP,00051,0.58
crop_0107_f00051_c0.49.jpg,FP,00051,0.49
